States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 5 199 3.9375 410 37 1471 aaaaaaaaaaaaaaaaaaaaaaadbbcccddcaTaad Q_PDS
32 5 3 3.76953 64 32 60 aaaaaaaaaaaaaaaaaaaaaaaadbdaaTTb Q_PDS
32 5 3 3.76562 56 30 50 aaaaaaaaaaaaaaaaaaaaaaacaaaddd Q_PDS
32 5 5 3.77734 93 30 75 aaaaaaaaaaaaaaaaaaaaaaaaadbTcd Q_PDS
32 5 33 3.82422 168 29 207 aaaaaaaaaaaaaaaaaaaaaadcccdTd Q_PDS
32 5 1111 4.43359 2168 34 2611 aaaaaaaaaaaaaaaaaaadaccabadcccbaTd Q_PDS
32 5 190 3.96094 613 35 805 aaaaaaaTaaaaaaaaaaaaaaaddadbTcaTaad Q_PDS
32 5 4 3.78516 96 38 70 aaaaaaaaaaaaaaaaaaaacaTaTbTdTbaTTccdad Q_PDS
32 5 13 3.76562 133 34 145 aaaaaaaaaaaaaaaacaaaaaaaaaaTadadTd Q_PDS
32 5 4 3.75781 80 30 76 aaaaaaaaaaaaaaaaaaaaaaabaddbac Q_PDS
32 5 4 3.75391 70 36 69 aaaaaaacaaTaaaaaaaaaaaaaabTddbTaaaab Q_PDS
32 5 6 3.75781 85 31 88 aaaaaaaabaaaaaaaaaaaaaabcaddcdc Q_PDS
32 5 17 3.80469 166 43 176 acaaaaaaaaaaaaaaaaaaaaaaadddcbaccababTdTacc Q_PDS
32 5 48 3.91016 363 30 331 aaaaaaaaaaaaaaaaaaaaacdbadcbdb Q_PDS
32 5 136 4.10156 719 31 445 aaaaaaaaaaaaaaaaaaaaaaaadTcbadd Q_PDS
32 5 5 3.78125 74 32 91 aaaaaaaaaaaaaaaaaaaadaaaabbdTTab Q_PDS
32 5 6 3.78125 89 42 101 aaaaaaaaaaaaaaaaaaaaaaadbdcaTaaaTadTdTTaTc Q_PDS
32 5 18 3.81641 178 31 146 aaaaaaaaaaaaaaaaaaaaaadacdbcTbc Q_PDS
32 5 51 3.83203 259 28 391 aaaaaaaaaaacaaaaaaaaaabbbbbc Q_PDS
32 5 2 3.77344 60 33 42 aaaaaaaaaaaaaaaaaaaaaaTaTaddacTcc Q_PDS
32 5 28 3.80859 185 40 226 aaaaaaabaaaaaacaaaaaaaaaaaTaaadbTabaTcab Q_PDS
32 5 5 3.78906 84 38 71 aaaaaaaaaaaaaaaaaaaaaaaaccTdaaccaaacTd Q_PDS
32 5 2 3.78906 31 32 65 aaaaaaaaaaaaaaaaacaaaaTaaaaaacdd Q_PDS
32 5 440 4.14062 915 36 1321 aaaaaaaaaaacaaaaaaadaaaaaaTbadbbadTc Q_PDS
32 5 3 3.86328 58 35 58 aaaaaaaaaabaaaaaaaaaaaaadaTTdbabTac Q_PDS
32 5 6 3.76562 56 38 110 aaaaaaaaaaaaaaaaaaaaaaaaacabbbbTbTTcTb Q_PDS
