Episodes Task Normalised_Cummulative_Reward
11 Q(RS) 0.87074
12 Q(RS) 0.80066
13 Q(RS) 0.91032
14 Q(RS) 0.87561
15 Q(RS) 0.99936
16 Q(RS) 0.72822
17 Q(RS) 0.81365
18 Q(RS) 0.97400
19 Q(RS) 0.99431
20 Q(RS) 0.97830
21 Q(RS) 0.92860
22 Q(RS) 0.88203
23 Q(RS) 0.85453
24 Q(RS) 0.90087
25 Q(RS) 0.94882
26 Q(RS) 0.98084
27 Q(RS) 0.66349
28 Q(RS) 0.91734
29 Q(RS) 0.93171
30 Q(RS) 0.87570
31 Q(RS) 1.00077
32 Q(RS) 0.88053
33 Q(RS) 0.96173
34 Q(RS) 0.85378
35 Q(RS) 0.98609
36 Q(RS) 0.96721
37 Q(RS) 0.99378
38 Q(RS) 0.98794
39 Q(RS) 0.96890
40 Q(RS) 0.97814
41 Q(RS) 0.99139
42 Q(RS) 0.97637
43 Q(RS) 0.98768
44 Q(RS) 0.97096
45 Q(RS) 0.99838
46 Q(RS) 0.93740
47 Q(RS) 0.99908
48 Q(RS) 0.87845
49 Q(RS) 0.92107
50 Q(RS) 0.94981
51 Q(RS) 0.98165
52 Q(RS) 0.99480
53 Q(RS) 0.93450
54 Q(RS) 0.96345
55 Q(RS) 1.00259
56 Q(RS) 0.98964
57 Q(RS) 0.96719
58 Q(RS) 0.98185
59 Q(RS) 0.94185
60 Q(RS) 0.91122
61 Q(RS) 0.93045
62 Q(RS) 0.97998
63 Q(RS) 0.90569
64 Q(RS) 0.99429
65 Q(RS) 0.88735
66 Q(RS) 0.99648
67 Q(RS) 0.90042
68 Q(RS) 0.99458
69 Q(RS) 0.98184
70 Q(RS) 0.99813
71 Q(RS) 0.94401
72 Q(RS) 0.90269
73 Q(RS) 0.98541
74 Q(RS) 0.97560
75 Q(RS) 0.96932
76 Q(RS) 0.99899
77 Q(RS) 0.97977
78 Q(RS) 0.99778
79 Q(RS) 0.98568
80 Q(RS) 0.94947
81 Q(RS) 0.92641
82 Q(RS) 0.99981
83 Q(RS) 0.97521
84 Q(RS) 0.94749
85 Q(RS) 1.00088
86 Q(RS) 0.95409
87 Q(RS) 0.99606
88 Q(RS) 0.91962
89 Q(RS) 0.97243
90 Q(RS) 0.92086
91 Q(RS) 0.96140
92 Q(RS) 0.97670
93 Q(RS) 0.98294
94 Q(RS) 0.96797
95 Q(RS) 0.92820
96 Q(RS) 0.99712
97 Q(RS) 1.00275
98 Q(RS) 0.99777
99 Q(RS) 0.99531
100 Q(RS) 0.94255
1 Q(RS) 0.00000
2 Q(RS) 0.77017
3 Q(RS) 0.76147
4 Q(RS) 0.70771
5 Q(RS) 0.74282
6 Q(RS) 0.97936
7 Q(RS) 0.81823
8 Q(RS) 0.74732
9 Q(RS) 0.84767
10 Q(RS) 0.77224
11 Q(RS) 0.80537
12 Q(RS) 0.53522
13 Q(RS) 0.85512
14 Q(RS) 0.97370
15 Q(RS) 0.98399
16 Q(RS) 0.98380
17 Q(RS) 0.99461
18 Q(RS) 0.90809
19 Q(RS) 0.94367
20 Q(RS) 0.97635
21 Q(RS) 0.84992
22 Q(RS) 0.92948
23 Q(RS) 0.96189
24 Q(RS) 0.96386
25 Q(RS) 0.82839
26 Q(RS) 0.91850
27 Q(RS) 0.89293
28 Q(RS) 0.77589
29 Q(RS) 0.85412
30 Q(RS) 0.80136
31 Q(RS) 0.90693
32 Q(RS) 0.74373
33 Q(RS) 0.95521
34 Q(RS) 0.90444
35 Q(RS) 0.98575
36 Q(RS) 0.97418
37 Q(RS) 0.98264
38 Q(RS) 0.89437
39 Q(RS) 0.99417
40 Q(RS) 0.96791
41 Q(RS) 0.99491
42 Q(RS) 0.99878
43 Q(RS) 0.97085
44 Q(RS) 0.96529
45 Q(RS) 0.99758
46 Q(RS) 1.00081
47 Q(RS) 1.00155
48 Q(RS) 0.97898
49 Q(RS) 0.99520
50 Q(RS) 0.98864
51 Q(RS) 0.97528
52 Q(RS) 0.98369
53 Q(RS) 0.96426
54 Q(RS) 0.99895
55 Q(RS) 0.79882
56 Q(RS) 0.99111
57 Q(RS) 0.94738
58 Q(RS) 0.89291
59 Q(RS) 0.87509
60 Q(RS) 0.99959
61 Q(RS) 0.85938
62 Q(RS) 0.87814
63 Q(RS) 0.98571
64 Q(RS) 0.95993
65 Q(RS) 0.93173
66 Q(RS) 0.97164
67 Q(RS) 0.94556
68 Q(RS) 0.99200
69 Q(RS) 0.96903
70 Q(RS) 1.00000
71 Q(RS) 0.99136
72 Q(RS) 0.98706
73 Q(RS) 0.97249
74 Q(RS) 0.92750
75 Q(RS) 0.90148
76 Q(RS) 0.95531
77 Q(RS) 0.99781
78 Q(RS) 0.98447
79 Q(RS) 0.95673
80 Q(RS) 0.99881
81 Q(RS) 0.96950
82 Q(RS) 0.94021
83 Q(RS) 0.99078
84 Q(RS) 0.98673
85 Q(RS) 0.96307
86 Q(RS) 0.99720
87 Q(RS) 0.99301
88 Q(RS) 0.97697
89 Q(RS) 0.99801
90 Q(RS) 0.98629
91 Q(RS) 0.98528
92 Q(RS) 0.94973
93 Q(RS) 0.92381
94 Q(RS) 0.96525
95 Q(RS) 0.95366
96 Q(RS) 0.97342
97 Q(RS) 0.99360
98 Q(RS) 0.99256
99 Q(RS) 0.98265
100 Q(RS) 0.94720
1 Q(RS) 0.00000
2 Q(RS) 0.20083
3 Q(RS) 0.87113
4 Q(RS) 0.84578
5 Q(RS) 0.78479
6 Q(RS) 0.53979
7 Q(RS) 0.98963
8 Q(RS) 0.70878
9 Q(RS) 0.77058
10 Q(RS) 0.56365
11 Q(RS) 0.95572
12 Q(RS) 0.69409
13 Q(RS) 0.82227
14 Q(RS) 0.98079
15 Q(RS) 0.99268
16 Q(RS) 0.97343
17 Q(RS) 0.93513
18 Q(RS) 0.76438
19 Q(RS) 0.94298
20 Q(RS) 0.86874
21 Q(RS) 0.99227
22 Q(RS) 0.98091
23 Q(RS) 0.97415
24 Q(RS) 0.98000
25 Q(RS) 0.84344
26 Q(RS) 0.99737
27 Q(RS) 0.99363
28 Q(RS) 0.96752
29 Q(RS) 0.95309
30 Q(RS) 0.95445
31 Q(RS) 0.97976
32 Q(RS) 0.97430
33 Q(RS) 0.95932
34 Q(RS) 0.92870
35 Q(RS) 0.88554
36 Q(RS) 0.97477
37 Q(RS) 0.99919
38 Q(RS) 0.85957
39 Q(RS) 0.84622
40 Q(RS) 0.98159
41 Q(RS) 0.96835
42 Q(RS) 0.97664
43 Q(RS) 0.94719
44 Q(RS) 0.92473
45 Q(RS) 0.97484
46 Q(RS) 0.94623
47 Q(RS) 1.00220
48 Q(RS) 0.82754
49 Q(RS) 1.00088
50 Q(RS) 0.99719
51 Q(RS) 0.90884
52 Q(RS) 0.86907
53 Q(RS) 0.98371
54 Q(RS) 0.99748
55 Q(RS) 0.82994
56 Q(RS) 0.82218
57 Q(RS) 0.93637
58 Q(RS) 0.95140
59 Q(RS) 0.84583
60 Q(RS) 0.90772
61 Q(RS) 0.92736
62 Q(RS) 0.96182
63 Q(RS) 0.94105
64 Q(RS) 0.97938
65 Q(RS) 0.98822
66 Q(RS) 0.99651
67 Q(RS) 0.97083
68 Q(RS) 1.00208
69 Q(RS) 0.96267
70 Q(RS) 0.98275
71 Q(RS) 0.98936
72 Q(RS) 0.99817
73 Q(RS) 0.88844
74 Q(RS) 0.96739
75 Q(RS) 0.88448
76 Q(RS) 0.98451
77 Q(RS) 0.94930
78 Q(RS) 0.91371
79 Q(RS) 1.00444
80 Q(RS) 0.94349
81 Q(RS) 0.99898
82 Q(RS) 0.93625
83 Q(RS) 1.00628
84 Q(RS) 0.97735
85 Q(RS) 1.00087
86 Q(RS) 0.94258
87 Q(RS) 0.97049
88 Q(RS) 0.99769
89 Q(RS) 0.97258
90 Q(RS) 0.95801
